,Line num,Command,Notes
0,1,\RequirePackage,ifpdf
1,2,\ifpdf,N/A
2,3,\documentclass,arxsigma
3,4,\else,N/A
4,5,\documentclass,arxsigma
5,6,\fi,N/A
6,7,\usepackage,hyperref
7,8,document,Environment
8,9,\renewcommand,N/A
9,9,\PaperNumber,N/A
10,10,\FirstPageHeading,N/A
11,11,\ShortArticleName,Computing regular meromorphic differential forms
12,12,\ArticleName,Nested
13,13,\Author,Shinichi Tajima~  and Katsusuke Nabeshima~ 
14,14,\AuthorNameForHeading,S.~Tajima and K.~Nabeshima
15,15,\Address,Nested
16,16,\EmailD,N/A
17,16,\href,N/A
18,17,\Address,Nested
19,18,\EmailD,N/A
20,18,\href,N/A
21,19,\Abstract,N/A
22,21,\Keywords,logarithmic vector field; logarithmic residue; torsion module
23,22,\Classification,32S05; 32A27
24,23,flushright,Environment
25,25,\section,Introduction
26,27,\cite,Nested
27,27,\cite,S
28,27,\cite,S
29,27,\cite,Nested
30,27,\cite,S
31,27,\cite,S
32,27,\cite,Nested
33,27,\cite,S
34,27,\cite,S
35,27,\cite,Nested
36,27,\cite,S
37,27,\cite,S
38,30,\cite,A
39,31,\cite,Nested
40,31,\cite,Nested
41,32,\cite,"AT,Bru,CM1,CM2,GS,P"
42,33,\cite,TN20
43,34,\cite,Nested
44,34,\cite,Nested
45,35,\section,Logarithmic differential forms and residues
46,37,\cite,S
47,41,\subsection,Logarithmic residues
48,44,definition,Environment
49,46,enumerate,Environment
50,47,\item,N/A
51,48,\item,N/A
52,49,\item,N/A
53,52,enumerate,Environment
54,53,\item,Nested
55,53,\dim_,Nested
56,53,\mathbb,Nested
57,53,\cap,Nested
58,54,\in,N/A
59,54,\mid,N/A
60,54,\leq,N/A
61,55,\item,N/A
62,57,\item,N/A
63,60,\cite,S
64,63,equation,Environment
65,64,\Omega_,N/A
66,64,\Omega_,N/A
67,64,\Omega_X,N/A
68,64,\wedge,N/A
69,64,\Omega_,N/A
70,66,definition,Environment
71,74,equation,Environment
72,76,\cite,S
73,78,\subsection,Barlet sheaf and torsion differential forms
74,79,\cite,B
75,82,definition,Environment
76,85,equation,Environment
77,86,\omega_S,N/A
78,86,\rm,N/A
79,86,\mathcal,N/A
80,86,\Omega_S,N/A
81,86,\omega_S,N/A
82,89,\cite,A
83,90,theorem,Environment
84,92,equation,Environment
85,95,\cite,Nested
86,95,\cite,Nested
87,96,example,Environment
88,98,equation,Environment
89,99,\Omega_,N/A
90,99,\log,N/A
91,99,\cong,N/A
92,99,\mathcal,N/A
93,99,\left,N/A
94,99,\frac,N/A
95,99,\frac,N/A
96,99,\beta,N/A
97,99,\right,N/A
98,99,\Omega_,N/A
99,99,\log,N/A
100,99,\cong,N/A
101,99,\mathcal,N/A
102,99,\left,N/A
103,99,\frac,N/A
104,99,\wedge,N/A
105,99,\right,N/A
106,102,\cite,"M, Z"
107,105,\cite,A88
108,106,theorem,Environment
109,108,equation,Environment
110,109,\longrightarrow,N/A
111,109,\frac,N/A
112,109,\wedge,N/A
113,109,\Omega_,N/A
114,109,\Omega_,N/A
115,109,\longrightarrow,N/A
116,110,\Omega_,N/A
117,110,\log,N/A
118,110,\stackrel,N/A
119,110,\cdot,N/A
120,110,\longrightarrow,N/A
121,110,\rm,N/A
122,110,\Omega_,N/A
123,110,\longrightarrow,N/A
124,116,\subsection,Vanishing theorem
125,117,\cite,G
126,118,theorem,Environment
127,122,enumerate,Environment
128,123,\item,N/A
129,125,\item,N/A
130,127,\item,N/A
131,130,equation,Environment
132,131,\tau,N/A
133,131,\dim_,N/A
134,131,\mathbb,N/A
135,131,\left,N/A
136,131,\mathcal,N/A
137,131,\left,N/A
138,131,\frac,N/A
139,131,\partial,N/A
140,131,\partial,N/A
141,131,\frac,N/A
142,131,\partial,N/A
143,131,\partial,N/A
144,131,\ldots,N/A
145,131,\frac,N/A
146,131,\partial,N/A
147,131,\partial,N/A
148,131,\right,N/A
149,131,\right,N/A
150,134,\frac,N/A
151,134,\partial,N/A
152,134,\partial,N/A
153,134,\frac,N/A
154,134,\partial,N/A
155,134,\partial,N/A
156,134,\ldots,N/A
157,135,\frac,N/A
158,135,\partial,N/A
159,135,\partial,N/A
160,139,\cite,Nested
161,139,\cite,Nested
162,141,\cite,G
163,144,enumerate,Environment
164,145,\item,N/A
165,145,\Omega_,N/A
166,145,\log,N/A
167,145,\frac,N/A
168,145,\wedge,N/A
169,145,\Omega_,N/A
170,145,\Omega_,N/A
171,146,\ldots,N/A
172,147,\item,N/A
173,148,\longrightarrow,N/A
174,148,\frac,N/A
175,148,\wedge,N/A
176,148,\Omega_,N/A
177,149,\Omega_,N/A
178,149,\longrightarrow,N/A
179,150,\Omega_,N/A
180,150,\log,N/A
181,150,\stackrel,N/A
182,150,\cdot,N/A
183,150,\longrightarrow,N/A
184,150,\rm,N/A
185,150,\Omega_,N/A
186,150,\longrightarrow,N/A
187,153,proposition,Environment
188,158,proof,Environment
189,162,\section,Description via logarithmic residues
190,163,\cite,TN20
191,166,\subsection,Logarithmic vector fields
192,171,\cite,S
193,174,proposition,Environment
194,176,equation,Environment
195,177,\Omega_,N/A
196,177,\log,N/A
197,177,\left,N/A
198,177,\frac,N/A
199,177,\omega_X,N/A
200,177,\middle,N/A
201,177,\in,N/A
202,177,\mathcal,N/A
203,177,\log,N/A
204,177,\right,N/A
205,181,proof,Environment
206,188,equation,Environment
207,189,\frac,N/A
208,189,\partial,N/A
209,189,\partial,N/A
210,189,\ldots,N/A
211,189,\frac,N/A
212,189,\partial,N/A
213,189,\partial,N/A
214,189,\frac,N/A
215,189,\partial,N/A
216,189,\partial,N/A
217,189,\frac,N/A
218,189,\partial,N/A
